image,empty,not_adipocyte,adipocyte
6th meat, 40 g_r25_c7.jpg,0.995471,0.004082,0.000447
6th meat, 40 g_r25_c8.jpg,0.997067,0.002749,0.000184
6th meat, 40 g_r25_c9.jpg,0.997160,0.002732,0.000108
6th meat, 40 g_r26_c0.jpg,0.894882,0.061127,0.043990
6th meat, 40 g_r26_c1.jpg,0.964039,0.019838,0.016123
6th meat, 40 g_r26_c10.jpg,0.984966,0.013251,0.001783
6th meat, 40 g_r26_c11.jpg,0.997611,0.002219,0.000170
6th meat, 40 g_r26_c12.jpg,0.996062,0.003698,0.000240
6th meat, 40 g_r26_c13.jpg,0.997422,0.002406,0.000172
6th meat, 40 g_r26_c14.jpg,0.996959,0.002821,0.000220
6th meat, 40 g_r26_c15.jpg,0.995673,0.003911,0.000417
6th meat, 40 g_r26_c16.jpg,0.998097,0.001770,0.000133
6th meat, 40 g_r26_c17.jpg,0.997449,0.002250,0.000302
6th meat, 40 g_r26_c18.jpg,0.997187,0.002577,0.000236
6th meat, 40 g_r26_c19.jpg,0.997549,0.002201,0.000251
6th meat, 40 g_r26_c2.jpg,0.435723,0.285088,0.279189
6th meat, 40 g_r26_c20.jpg,0.994371,0.004949,0.000680
6th meat, 40 g_r26_c21.jpg,0.993917,0.005584,0.000500
6th meat, 40 g_r26_c22.jpg,0.996643,0.003176,0.000182
6th meat, 40 g_r26_c23.jpg,0.997547,0.002299,0.000154
6th meat, 40 g_r26_c24.jpg,0.989641,0.009967,0.000392
6th meat, 40 g_r26_c25.jpg,0.992202,0.007325,0.000473
6th meat, 40 g_r26_c26.jpg,0.990740,0.008775,0.000485
6th meat, 40 g_r26_c27.jpg,0.996487,0.003155,0.000358
6th meat, 40 g_r26_c3.jpg,0.992028,0.007269,0.000704
6th meat, 40 g_r26_c4.jpg,0.998024,0.001755,0.000221
6th meat, 40 g_r26_c5.jpg,0.997462,0.002319,0.000219
6th meat, 40 g_r26_c6.jpg,0.997406,0.002415,0.000178
6th meat, 40 g_r26_c7.jpg,0.997480,0.002320,0.000200
6th meat, 40 g_r26_c8.jpg,0.997508,0.002321,0.000171
6th meat, 40 g_r26_c9.jpg,0.988447,0.010506,0.001047
6th meat, 40 g_r27_c0.jpg,0.919474,0.050851,0.029675
6th meat, 40 g_r27_c1.jpg,0.969598,0.015553,0.014849
6th meat, 40 g_r27_c10.jpg,0.985271,0.013045,0.001683
6th meat, 40 g_r27_c11.jpg,0.997559,0.002264,0.000177
6th meat, 40 g_r27_c12.jpg,0.994777,0.004812,0.000411
6th meat, 40 g_r27_c13.jpg,0.996986,0.002800,0.000214
6th meat, 40 g_r27_c14.jpg,0.997288,0.002498,0.000214
6th meat, 40 g_r27_c15.jpg,0.997157,0.002593,0.000250
6th meat, 40 g_r27_c16.jpg,0.997959,0.001894,0.000147
6th meat, 40 g_r27_c17.jpg,0.995867,0.003632,0.000501
6th meat, 40 g_r27_c18.jpg,0.996773,0.002965,0.000262
6th meat, 40 g_r27_c19.jpg,0.996561,0.003118,0.000321
6th meat, 40 g_r27_c2.jpg,0.557252,0.220612,0.222137
6th meat, 40 g_r27_c20.jpg,0.997652,0.002047,0.000301
6th meat, 40 g_r27_c21.jpg,0.994286,0.005227,0.000487
6th meat, 40 g_r27_c22.jpg,0.991023,0.008198,0.000778
6th meat, 40 g_r27_c23.jpg,0.995832,0.003905,0.000263
6th meat, 40 g_r27_c24.jpg,0.993987,0.005622,0.000391
6th meat, 40 g_r27_c25.jpg,0.991974,0.007593,0.000433
6th meat, 40 g_r27_c26.jpg,0.985569,0.013627,0.000803
6th meat, 40 g_r27_c27.jpg,0.994525,0.004958,0.000517
6th meat, 40 g_r27_c3.jpg,0.994511,0.005142,0.000347
6th meat, 40 g_r27_c4.jpg,0.997250,0.002411,0.000338
6th meat, 40 g_r27_c5.jpg,0.997594,0.002167,0.000239
6th meat, 40 g_r27_c6.jpg,0.997406,0.002415,0.000178
6th meat, 40 g_r27_c7.jpg,0.997218,0.002533,0.000249
6th meat, 40 g_r27_c8.jpg,0.997311,0.002490,0.000198
6th meat, 40 g_r27_c9.jpg,0.988469,0.010394,0.001137
6th meat, 40 g_r2_c25.jpg,0.105999,0.827780,0.066222
6th meat, 40 g_r2_c26.jpg,0.086895,0.847959,0.065146
6th meat, 40 g_r2_c27.jpg,0.472005,0.445495,0.082500
6th meat, 40 g_r3_c22.jpg,0.667940,0.305293,0.026767
6th meat, 40 g_r3_c25.jpg,0.130697,0.817417,0.051886
6th meat, 40 g_r3_c26.jpg,0.758753,0.237200,0.004048
6th meat, 40 g_r3_c27.jpg,0.208493,0.773825,0.017682
6th meat, 40 g_r4_c0.jpg,0.891237,0.084462,0.024301
6th meat, 40 g_r4_c1.jpg,0.397579,0.564303,0.038117
6th meat, 40 g_r4_c2.jpg,0.160139,0.806214,0.033648
6th meat, 40 g_r4_c23.jpg,0.751444,0.220475,0.028081
6th meat, 40 g_r4_c24.jpg,0.771896,0.204243,0.023860
6th meat, 40 g_r4_c25.jpg,0.363975,0.536333,0.099692
6th meat, 40 g_r4_c26.jpg,0.324801,0.665385,0.009814
6th meat, 40 g_r4_c27.jpg,0.445149,0.544108,0.010744
6th meat, 40 g_r5_c0.jpg,0.997849,0.001637,0.000514
6th meat, 40 g_r5_c1.jpg,0.996383,0.003233,0.000384
6th meat, 40 g_r5_c2.jpg,0.976363,0.018960,0.004677
6th meat, 40 g_r5_c21.jpg,0.827168,0.157200,0.015632
6th meat, 40 g_r5_c22.jpg,0.092027,0.882087,0.025886
6th meat, 40 g_r5_c23.jpg,0.350467,0.625025,0.024508
6th meat, 40 g_r5_c24.jpg,0.672720,0.277817,0.049463
6th meat, 40 g_r5_c25.jpg,0.411396,0.547280,0.041324
6th meat, 40 g_r5_c26.jpg,0.988475,0.011113,0.000412
6th meat, 40 g_r5_c27.jpg,0.996737,0.003052,0.000211
6th meat, 40 g_r6_c0.jpg,0.995956,0.003766,0.000278
6th meat, 40 g_r6_c1.jpg,0.989707,0.008782,0.001512
6th meat, 40 g_r6_c17.jpg,0.742169,0.236585,0.021247
6th meat, 40 g_r6_c2.jpg,0.986637,0.011183,0.002180
6th meat, 40 g_r6_c20.jpg,0.245141,0.709919,0.044940
6th meat, 40 g_r6_c23.jpg,0.933623,0.065345,0.001032
6th meat, 40 g_r6_c24.jpg,0.947284,0.050640,0.002076
6th meat, 40 g_r6_c25.jpg,0.992993,0.005867,0.001140
6th meat, 40 g_r6_c26.jpg,0.997204,0.002555,0.000242
6th meat, 40 g_r6_c27.jpg,0.996874,0.002815,0.000311
6th meat, 40 g_r6_c3.jpg,0.609192,0.376588,0.014220
6th meat, 40 g_r6_c4.jpg,0.423094,0.545119,0.031786
6th meat, 40 g_r7_c0.jpg,0.997100,0.002585,0.000314
6th meat, 40 g_r7_c1.jpg,0.995766,0.003640,0.000593
6th meat, 40 g_r7_c17.jpg,0.739188,0.220241,0.040571
6th meat, 40 g_r7_c19.jpg,0.966788,0.028225,0.004987
6th meat, 40 g_r7_c2.jpg,0.993316,0.005812,0.000872
6th meat, 40 g_r7_c20.jpg,0.861258,0.118195,0.020547
6th meat, 40 g_r7_c24.jpg,0.652857,0.343377,0.003766
6th meat, 40 g_r7_c25.jpg,0.999194,0.000726,0.000080
6th meat, 40 g_r7_c26.jpg,0.998614,0.001282,0.000104
6th meat, 40 g_r7_c27.jpg,0.997865,0.002009,0.000125
6th meat, 40 g_r7_c3.jpg,0.993443,0.005532,0.001025
6th meat, 40 g_r8_c0.jpg,0.995031,0.004196,0.000773
6th meat, 40 g_r8_c1.jpg,0.985423,0.012905,0.001672
6th meat, 40 g_r8_c12.jpg,0.664623,0.328642,0.006735
6th meat, 40 g_r8_c15.jpg,0.897667,0.094434,0.007899
6th meat, 40 g_r8_c16.jpg,0.818813,0.159578,0.021609
6th meat, 40 g_r8_c17.jpg,0.843206,0.119148,0.037646
6th meat, 40 g_r8_c18.jpg,0.907806,0.073784,0.018410
6th meat, 40 g_r8_c19.jpg,0.915273,0.071689,0.013038
6th meat, 40 g_r8_c2.jpg,0.977257,0.021887,0.000856
6th meat, 40 g_r8_c21.jpg,0.830396,0.140762,0.028841
6th meat, 40 g_r8_c22.jpg,0.744028,0.242448,0.013524
6th meat, 40 g_r8_c23.jpg,0.602746,0.384136,0.013119
6th meat, 40 g_r8_c24.jpg,0.160259,0.798537,0.041204
6th meat, 40 g_r8_c25.jpg,0.835513,0.161628,0.002859
6th meat, 40 g_r8_c26.jpg,0.994475,0.004979,0.000546
6th meat, 40 g_r8_c27.jpg,0.995507,0.004056,0.000437
6th meat, 40 g_r9_c0.jpg,0.994536,0.004622,0.000842
6th meat, 40 g_r9_c1.jpg,0.986853,0.011794,0.001353
6th meat, 40 g_r9_c13.jpg,0.517043,0.452980,0.029977
6th meat, 40 g_r9_c14.jpg,0.845156,0.148677,0.006167
6th meat, 40 g_r9_c17.jpg,0.997322,0.002352,0.000326
6th meat, 40 g_r9_c18.jpg,0.988794,0.008895,0.002311
6th meat, 40 g_r9_c2.jpg,0.983461,0.015416,0.001123
6th meat, 40 g_r9_c22.jpg,0.565317,0.401234,0.033449
6th meat, 40 g_r9_c23.jpg,0.860949,0.124753,0.014298
6th meat, 40 g_r9_c24.jpg,0.265380,0.686653,0.047967
6th meat, 40 g_r9_c25.jpg,0.512850,0.464962,0.022188
6th meat, 40 g_r9_c26.jpg,0.997263,0.002215,0.000522
6th meat, 40 g_r9_c27.jpg,0.998150,0.001631,0.000219
6th meat, 40 g_r9_c3.jpg,0.383620,0.601525,0.014855
B-1_r0_c0.jpg,0.997765,0.002103,0.000132
B-1_r0_c1.jpg,0.994421,0.004883,0.000696
B-1_r0_c15.jpg,0.247447,0.584402,0.168151
B-1_r0_c2.jpg,0.999002,0.000915,0.000082
B-1_r0_c3.jpg,0.987436,0.011984,0.000581
B-1_r0_c32.jpg,0.098215,0.897039,0.004746
B-1_r0_c35.jpg,0.369584,0.577311,0.053105
B-1_r0_c39.jpg,0.050012,0.946463,0.003525
B-1_r0_c4.jpg,0.763745,0.222473,0.013782
B-1_r0_c40.jpg,0.733183,0.263701,0.003117
B-1_r0_c41.jpg,0.870391,0.125193,0.004416
B-1_r0_c42.jpg,0.777924,0.208232,0.013845
B-1_r0_c43.jpg,0.936837,0.061297,0.001866
B-1_r0_c44.jpg,0.996233,0.003519,0.000249
B-1_r0_c45.jpg,0.997047,0.002560,0.000393
B-1_r0_c46.jpg,0.996566,0.002982,0.000452
B-1_r0_c47.jpg,0.996208,0.003399,0.000392
B-1_r0_c48.jpg,0.994485,0.005066,0.000449
B-1_r0_c49.jpg,0.995804,0.003982,0.000214
B-1_r0_c50.jpg,0.993703,0.005975,0.000322
B-1_r0_c51.jpg,0.311778,0.672647,0.015575
B-1_r0_c54.jpg,0.695721,0.172510,0.131769
B-1_r0_c56.jpg,0.989195,0.009660,0.001146
B-1_r0_c57.jpg,0.998762,0.000996,0.000242
B-1_r10_c0.jpg,0.989920,0.009387,0.000693
B-1_r10_c1.jpg,0.998559,0.001292,0.000148
B-1_r10_c2.jpg,0.118749,0.874291,0.006961
B-1_r10_c39.jpg,0.581754,0.397404,0.020842
B-1_r10_c40.jpg,0.183877,0.684813,0.131309
B-1_r10_c41.jpg,0.482201,0.443479,0.074320
B-1_r10_c43.jpg,0.060939,0.842828,0.096233
B-1_r10_c49.jpg,0.211679,0.780605,0.007716
B-1_r10_c50.jpg,0.373165,0.555010,0.071825
B-1_r10_c52.jpg,0.973648,0.025410,0.000942
B-1_r10_c53.jpg,0.951245,0.047321,0.001433
B-1_r10_c56.jpg,0.992684,0.006714,0.000602
B-1_r10_c57.jpg,0.998224,0.001695,0.000081
B-1_r11_c0.jpg,0.994200,0.005546,0.000254
B-1_r11_c1.jpg,0.995164,0.004467,0.000369
B-1_r11_c2.jpg,0.173516,0.817589,0.008895
B-1_r11_c38.jpg,0.039307,0.920241,0.040453
B-1_r11_c39.jpg,0.245772,0.683941,0.070287
B-1_r11_c40.jpg,0.396458,0.548087,0.055455
B-1_r11_c45.jpg,0.996004,0.003600,0.000396
B-1_r11_c46.jpg,0.882287,0.114578,0.003135
B-1_r11_c47.jpg,0.999136,0.000819,0.000045
B-1_r11_c48.jpg,0.757445,0.201542,0.041013
B-1_r11_c49.jpg,0.569424,0.386898,0.043679
B-1_r11_c50.jpg,0.998762,0.001058,0.000181
B-1_r11_c51.jpg,0.990840,0.008376,0.000783
B-1_r11_c52.jpg,0.983286,0.015839,0.000875
B-1_r11_c53.jpg,0.998651,0.001274,0.000075
B-1_r11_c56.jpg,0.993626,0.006058,0.000316
B-1_r11_c57.jpg,0.999403,0.000551,0.000046
B-1_r12_c0.jpg,0.996794,0.002989,0.000216
B-1_r12_c1.jpg,0.998328,0.001526,0.000146
B-1_r12_c40.jpg,0.136277,0.815509,0.048214
B-1_r12_c45.jpg,0.478285,0.497696,0.024020
B-1_r12_c46.jpg,0.998534,0.001381,0.000085
B-1_r12_c47.jpg,0.993736,0.006122,0.000142
B-1_r12_c48.jpg,0.998115,0.001742,0.000142
B-1_r12_c49.jpg,0.990782,0.008017,0.001201
B-1_r12_c50.jpg,0.997067,0.002820,0.000113
B-1_r12_c51.jpg,0.998988,0.000935,0.000077
B-1_r12_c52.jpg,0.998923,0.001028,0.000049
B-1_r12_c53.jpg,0.927987,0.071044,0.000969
B-1_r12_c56.jpg,0.897975,0.099496,0.002529
B-1_r12_c57.jpg,0.998708,0.001172,0.000120
B-1_r13_c0.jpg,0.993046,0.006546,0.000408
B-1_r13_c1.jpg,0.853961,0.139653,0.006386
B-1_r13_c16.jpg,0.077250,0.899231,0.023519
B-1_r13_c17.jpg,0.073396,0.848124,0.078481
B-1_r13_c40.jpg,0.040655,0.934700,0.024645
B-1_r13_c45.jpg,0.152528,0.830704,0.016768
B-1_r13_c46.jpg,0.989944,0.008889,0.001167
B-1_r13_c47.jpg,0.996214,0.003304,0.000482
B-1_r13_c48.jpg,0.998327,0.001554,0.000119
B-1_r13_c49.jpg,0.990762,0.008688,0.000549
B-1_r13_c50.jpg,0.998361,0.001606,0.000033
B-1_r13_c51.jpg,0.998207,0.001627,0.000165
B-1_r13_c52.jpg,0.998504,0.001322,0.000174
B-1_r13_c53.jpg,0.995814,0.004003,0.000183
B-1_r13_c56.jpg,0.944959,0.050713,0.004328
B-1_r13_c57.jpg,0.995833,0.003521,0.000646
B-1_r14_c0.jpg,0.998486,0.001419,0.000095
B-1_r14_c16.jpg,0.255518,0.635368,0.109114
B-1_r14_c30.jpg,0.106251,0.784070,0.109679
B-1_r14_c46.jpg,0.217774,0.752937,0.029289
B-1_r14_c47.jpg,0.984419,0.014825,0.000756
B-1_r14_c48.jpg,0.989228,0.010413,0.000359
B-1_r14_c49.jpg,0.978159,0.021119,0.000722
B-1_r14_c50.jpg,0.993205,0.006576,0.000218
B-1_r14_c51.jpg,0.982463,0.017050,0.000488
B-1_r14_c52.jpg,0.662303,0.321892,0.015806
B-1_r14_c56.jpg,0.994064,0.004466,0.001471
B-1_r14_c57.jpg,0.997385,0.002379,0.000235
B-1_r15_c0.jpg,0.995968,0.003545,0.000488
B-1_r15_c56.jpg,0.997441,0.002415,0.000144
B-1_r15_c57.jpg,0.998778,0.001141,0.000081
B-1_r15_c7.jpg,0.199405,0.545523,0.255073
B-1_r16_c0.jpg,0.997432,0.002399,0.000169
B-1_r16_c56.jpg,0.999223,0.000714,0.000063
B-1_r16_c57.jpg,0.999134,0.000764,0.000102
B-1_r17_c0.jpg,0.999429,0.000523,0.000048
B-1_r17_c1.jpg,0.887933,0.102319,0.009748
B-1_r17_c52.jpg,0.016647,0.963517,0.019836
B-1_r17_c55.jpg,0.995954,0.003342,0.000704
B-1_r17_c56.jpg,0.997829,0.002008,0.000163
B-1_r17_c57.jpg,0.999786,0.000174,0.000040
B-1_r17_c8.jpg,0.374654,0.608107,0.017239
B-1_r18_c0.jpg,0.938752,0.057949,0.003300
B-1_r18_c36.jpg,0.040486,0.562213,0.397300
B-1_r18_c37.jpg,0.201117,0.746661,0.052222
B-1_r18_c55.jpg,0.996012,0.003708,0.000280
B-1_r18_c56.jpg,0.998096,0.001748,0.000156
B-1_r18_c57.jpg,0.999279,0.000514,0.000208
B-1_r19_c55.jpg,0.992820,0.006399,0.000781
B-1_r19_c56.jpg,0.998333,0.001544,0.000123
B-1_r19_c57.jpg,0.999687,0.000284,0.000030
B-1_r1_c0.jpg,0.998295,0.001596,0.000110
B-1_r1_c1.jpg,0.996707,0.003129,0.000163
B-1_r1_c11.jpg,0.229059,0.690603,0.080337
B-1_r1_c16.jpg,0.082396,0.775317,0.142287
B-1_r1_c17.jpg,0.293262,0.564667,0.142072
B-1_r1_c2.jpg,0.998819,0.001089,0.000091
B-1_r1_c3.jpg,0.997860,0.002051,0.000089
B-1_r1_c35.jpg,0.680636,0.291384,0.027980
B-1_r1_c36.jpg,0.625377,0.323217,0.051406
B-1_r1_c4.jpg,0.863257,0.131820,0.004923
B-1_r1_c46.jpg,0.913116,0.081822,0.005063
B-1_r1_c57.jpg,0.998610,0.001264,0.000126
B-1_r1_c8.jpg,0.133674,0.834504,0.031821
B-1_r20_c54.jpg,0.553948,0.394318,0.051734
B-1_r20_c55.jpg,0.993960,0.005780,0.000260
B-1_r20_c56.jpg,0.998548,0.001277,0.000175
B-1_r20_c57.jpg,0.999899,0.000055,0.000046
B-1_r21_c13.jpg,0.364243,0.593224,0.042533
B-1_r21_c34.jpg,0.264965,0.626565,0.108469
B-1_r21_c35.jpg,0.471605,0.461593,0.066802
B-1_r21_c36.jpg,0.128049,0.820461,0.051490
B-1_r21_c54.jpg,0.912252,0.077850,0.009898
B-1_r21_c55.jpg,0.997706,0.002099,0.000195
B-1_r21_c56.jpg,0.997260,0.002486,0.000254
B-1_r21_c57.jpg,0.999677,0.000229,0.000094
B-1_r22_c14.jpg,0.126607,0.858265,0.015128
B-1_r22_c15.jpg,0.731471,0.253114,0.015415
B-1_r22_c17.jpg,0.065122,0.646744,0.288135
B-1_r22_c35.jpg,0.887407,0.106514,0.006078
B-1_r22_c36.jpg,0.673514,0.249040,0.077446
B-1_r22_c54.jpg,0.985386,0.012514,0.002100
B-1_r22_c55.jpg,0.993144,0.006286,0.000570
B-1_r22_c56.jpg,0.999420,0.000544,0.000035
B-1_r22_c57.jpg,0.999212,0.000700,0.000089
B-1_r23_c54.jpg,0.996195,0.003351,0.000454
B-1_r23_c55.jpg,0.998441,0.001513,0.000046
B-1_r23_c56.jpg,0.998901,0.000975,0.000124
B-1_r23_c57.jpg,0.999609,0.000270,0.000121
B-1_r24_c37.jpg,0.569495,0.413208,0.017296
B-1_r24_c5.jpg,0.132418,0.849288,0.018295
B-1_r24_c54.jpg,0.945766,0.052806,0.001428
B-1_r24_c55.jpg,0.998793,0.001114,0.000093
B-1_r24_c56.jpg,0.998690,0.001196,0.000114
B-1_r24_c57.jpg,0.998437,0.001120,0.000443
B-1_r25_c2.jpg,0.384335,0.559825,0.055840
B-1_r25_c3.jpg,0.999213,0.000648,0.000139
B-1_r25_c4.jpg,0.996635,0.003173,0.000192
B-1_r25_c5.jpg,0.966006,0.029945,0.004048
B-1_r25_c54.jpg,0.490366,0.499029,0.010605
B-1_r25_c55.jpg,0.998688,0.001256,0.000056
B-1_r25_c56.jpg,0.998310,0.001480,0.000209
B-1_r25_c57.jpg,0.999529,0.000336,0.000134
B-1_r25_c6.jpg,0.698123,0.296781,0.005095
B-1_r26_c2.jpg,0.983376,0.015585,0.001040
B-1_r26_c3.jpg,0.999211,0.000745,0.000045
B-1_r26_c4.jpg,0.961636,0.037099,0.001265
B-1_r26_c5.jpg,0.997702,0.001970,0.000328
B-1_r26_c55.jpg,0.995576,0.004076,0.000348
B-1_r26_c56.jpg,0.998436,0.001466,0.000098
B-1_r26_c57.jpg,0.998529,0.001298,0.000173
B-1_r26_c6.jpg,0.993582,0.006089,0.000330
B-1_r26_c7.jpg,0.997521,0.002286,0.000193
B-1_r27_c3.jpg,0.950847,0.046643,0.002509
B-1_r27_c4.jpg,0.992728,0.006174,0.001098
B-1_r27_c40.jpg,0.021289,0.792317,0.186394
B-1_r27_c46.jpg,0.351390,0.621346,0.027263
B-1_r27_c5.jpg,0.998847,0.001106,0.000046
B-1_r27_c55.jpg,0.993793,0.005666,0.000541
B-1_r27_c56.jpg,0.997774,0.001891,0.000335
B-1_r27_c57.jpg,0.999429,0.000378,0.000192
B-1_r27_c6.jpg,0.962315,0.036880,0.000805
B-1_r28_c3.jpg,0.892434,0.095974,0.011593
B-1_r28_c4.jpg,0.793476,0.185161,0.021363
B-1_r28_c46.jpg,0.382421,0.555232,0.062348
B-1_r28_c47.jpg,0.705609,0.278139,0.016252
B-1_r28_c48.jpg,0.136617,0.838085,0.025298
B-1_r28_c49.jpg,0.431659,0.503390,0.064951
B-1_r28_c5.jpg,0.416090,0.543351,0.040559
B-1_r28_c50.jpg,0.125062,0.747409,0.127529
B-1_r28_c55.jpg,0.993011,0.006250,0.000739
B-1_r28_c56.jpg,0.998778,0.001130,0.000092
B-1_r28_c57.jpg,0.999812,0.000142,0.000046
B-1_r29_c40.jpg,0.097378,0.860698,0.041924
B-1_r29_c55.jpg,0.990557,0.007676,0.001767
B-1_r29_c56.jpg,0.996973,0.002806,0.000221
B-1_r29_c57.jpg,0.999259,0.000567,0.000174
B-1_r2_c0.jpg,0.995799,0.004035,0.000166
B-1_r2_c1.jpg,0.994578,0.004913,0.000510
B-1_r2_c11.jpg,0.093862,0.786303,0.119835
B-1_r2_c12.jpg,0.998126,0.001714,0.000160
B-1_r2_c13.jpg,0.439230,0.517362,0.043408
B-1_r2_c17.jpg,0.080503,0.361480,0.558018
B-1_r2_c2.jpg,0.997266,0.002601,0.000133
B-1_r2_c3.jpg,0.998110,0.001763,0.000127
B-1_r2_c36.jpg,0.341138,0.589928,0.068934
B-1_r2_c37.jpg,0.434982,0.500442,0.064576
B-1_r2_c4.jpg,0.615220,0.370759,0.014021
B-1_r2_c57.jpg,0.998943,0.000878,0.000179
B-1_r2_c8.jpg,0.881601,0.100077,0.018322
B-1_r30_c40.jpg,0.358776,0.603895,0.037329
B-1_r30_c55.jpg,0.997655,0.002142,0.000202
B-1_r30_c56.jpg,0.998559,0.001287,0.000154
B-1_r30_c57.jpg,0.999544,0.000418,0.000038
B-1_r31_c41.jpg,0.373157,0.519730,0.107113
B-1_r31_c55.jpg,0.991938,0.006800,0.001262
B-1_r31_c56.jpg,0.997487,0.002302,0.000211
B-1_r31_c57.jpg,0.998257,0.001364,0.000380
B-1_r32_c41.jpg,0.056706,0.757844,0.185450
B-1_r32_c55.jpg,0.999262,0.000667,0.000071
B-1_r32_c56.jpg,0.999794,0.000191,0.000015
B-1_r32_c57.jpg,0.999639,0.000293,0.000068
B-1_r33_c49.jpg,0.821198,0.174435,0.004367
B-1_r33_c50.jpg,0.439113,0.411528,0.149359
B-1_r33_c54.jpg,0.919721,0.062600,0.017679
B-1_r33_c55.jpg,0.998313,0.001518,0.000169
B-1_r33_c56.jpg,0.999251,0.000704,0.000045
B-1_r33_c57.jpg,0.998434,0.001430,0.000136
B-1_r34_c29.jpg,0.035401,0.935409,0.029190
B-1_r34_c44.jpg,0.059054,0.912573,0.028373
B-1_r34_c50.jpg,0.858028,0.140056,0.001917
B-1_r34_c51.jpg,0.432262,0.407791,0.159947
B-1_r34_c54.jpg,0.996629,0.003035,0.000336
B-1_r34_c55.jpg,0.998290,0.001629,0.000081
B-1_r34_c56.jpg,0.997834,0.001744,0.000422
B-1_r34_c57.jpg,0.999417,0.000404,0.000179
B-1_r35_c10.jpg,0.933297,0.063333,0.003370
B-1_r35_c28.jpg,0.063876,0.692764,0.243360
B-1_r35_c29.jpg,0.331270,0.498889,0.169841
B-1_r35_c44.jpg,0.080778,0.726329,0.192893
B-1_r35_c53.jpg,0.593447,0.385055,0.021498
B-1_r35_c54.jpg,0.987353,0.011607,0.001040
B-1_r35_c55.jpg,0.998830,0.001087,0.000083
B-1_r35_c56.jpg,0.998998,0.000858,0.000144
B-1_r35_c57.jpg,0.999143,0.000736,0.000122
B-1_r35_c7.jpg,0.961549,0.035115,0.003336
B-1_r35_c8.jpg,0.954967,0.040315,0.004718
B-1_r35_c9.jpg,0.790618,0.186221,0.023161
B-1_r36_c10.jpg,0.606898,0.382765,0.010337
B-1_r36_c54.jpg,0.987901,0.011325,0.000774
B-1_r36_c55.jpg,0.999414,0.000534,0.000051
B-1_r36_c56.jpg,0.997915,0.001703,0.000383
B-1_r36_c57.jpg,0.999769,0.000140,0.000091
B-1_r36_c6.jpg,0.401458,0.590521,0.008021
B-1_r36_c7.jpg,0.997456,0.002403,0.000140
B-1_r36_c8.jpg,0.997415,0.002337,0.000248
B-1_r36_c9.jpg,0.994909,0.004844,0.000246
B-1_r37_c1.jpg,0.263374,0.663827,0.072799
B-1_r37_c53.jpg,0.720668,0.239845,0.039487
B-1_r37_c54.jpg,0.994988,0.004504,0.000508
B-1_r37_c55.jpg,0.999190,0.000766,0.000045
B-1_r37_c56.jpg,0.998623,0.001141,0.000236
B-1_r37_c57.jpg,0.999855,0.000106,0.000039
B-1_r37_c6.jpg,0.577504,0.373402,0.049094
B-1_r37_c7.jpg,0.997277,0.002359,0.000364
B-1_r37_c8.jpg,0.907199,0.090355,0.002447
B-1_r37_c9.jpg,0.951825,0.044803,0.003372
B-1_r38_c1.jpg,0.996417,0.003242,0.000341
B-1_r38_c24.jpg,0.323196,0.579948,0.096856
B-1_r38_c53.jpg,0.984129,0.013580,0.002291
B-1_r38_c54.jpg,0.993772,0.005449,0.000779
B-1_r38_c55.jpg,0.999386,0.000545,0.000069
B-1_r38_c56.jpg,0.997835,0.001865,0.000300
B-1_r38_c57.jpg,0.998409,0.001239,0.000352
B-1_r38_c6.jpg,0.963603,0.034181,0.002216
B-1_r38_c7.jpg,0.996870,0.002870,0.000260
B-1_r38_c8.jpg,0.987021,0.012439,0.000540
B-1_r38_c9.jpg,0.995983,0.003737,0.000280
B-1_r39_c1.jpg,0.855611,0.138619,0.005770
B-1_r39_c24.jpg,0.225898,0.615499,0.158603
B-1_r39_c53.jpg,0.998313,0.001491,0.000195
B-1_r39_c54.jpg,0.997829,0.001982,0.000189
B-1_r39_c55.jpg,0.998933,0.000994,0.000073
B-1_r39_c56.jpg,0.998806,0.001000,0.000195
B-1_r39_c57.jpg,0.999649,0.000302,0.000049
B-1_r39_c6.jpg,0.992720,0.006411,0.000869
B-1_r39_c7.jpg,0.988716,0.010440,0.000844
B-1_r39_c8.jpg,0.998632,0.001107,0.000260
B-1_r39_c9.jpg,0.997034,0.002735,0.000231
B-1_r3_c0.jpg,0.998646,0.001309,0.000045
B-1_r3_c1.jpg,0.998135,0.001734,0.000131
B-1_r3_c12.jpg,0.701476,0.281707,0.016817
B-1_r3_c13.jpg,0.997629,0.002164,0.000207
B-1_r3_c17.jpg,0.263072,0.612296,0.124632
B-1_r3_c18.jpg,0.105878,0.859524,0.034598
B-1_r3_c2.jpg,0.998402,0.001555,0.000043
B-1_r3_c3.jpg,0.979924,0.019349,0.000727
B-1_r3_c38.jpg,0.371416,0.457976,0.170608
B-1_r3_c4.jpg,0.067541,0.911467,0.020992
B-1_r3_c57.jpg,0.791496,0.191948,0.016556
B-1_r3_c7.jpg,0.076648,0.876535,0.046817
B-1_r3_c8.jpg,0.995023,0.004520,0.000457
B-1_r3_c9.jpg,0.651187,0.273367,0.075446
B-1_r40_c0.jpg,0.343870,0.645654,0.010477
B-1_r40_c27.jpg,0.105990,0.291554,0.602456
B-1_r40_c28.jpg,0.440363,0.346106,0.213531
B-1_r40_c29.jpg,0.216188,0.559249,0.224563
B-1_r40_c52.jpg,0.759113,0.193025,0.047862
